EPIC,Campaign,Teff,log g,Prot,ΔProt,hpeak,Rvar,Kp,MG,N_EVEREST,N_TESS_SPOC,Period_TESS,Amplitude_TESS,Period_K2,Amplitude_K2,Sector,Ratio,T_nearest,T_spot
228855568,10,3745,4.93,7.27,0.43,0.31,2.05,15.84,8.37,1.0,0.0,0.0,0.0,7.755851010015836,0.0242215156596822,,0.0,3700,0.0
228856765,10,4228,4.78,6.46,0.39,0.62,0.44,15.21,,1.0,0.0,0.0,0.0,6.45259796587267,0.0098883817129975,,0.0,4200,0.0
228859710,10,3565,5.01,5.04,0.33,0.49,0.52,15.9,,1.0,0.0,0.0,0.0,9.718787782010176,0.0215737248969588,,0.0,3600,0.0
228866569,10,5178,4.49,6.07,0.37,0.46,4.71,15.73,5.39,1.0,0.0,0.0,0.0,6.334332497911298,0.0635439212363179,,0.0,5200,0.0
228867841,10,5665,4.49,8.73,0.51,0.5,0.03,11.79,4.45,1.0,1.0,4.717777971136584,0.0073559284210205,10.0,0.005268317711943,46.0,1.3962575575776297,5700,4600.0
228868558,10,4808,4.69,8.48,0.5,0.7,1.13,13.1,,1.0,0.0,0.0,0.0,8.736107682593943,0.0152527466228429,,0.0,4800,0.0
228869254,10,5930,4.32,7.68,0.45,0.66,2.83,15.07,3.15,1.0,0.0,0.0,0.0,7.933900071387474,0.0266227417884454,,0.0,5900,0.0
228871433,10,4194,4.85,6.61,0.39,0.55,0.21,15.22,5.54,1.0,0.0,0.0,0.0,6.8354630038339455,0.0043927863868348,,0.0,4200,0.0
228875644,10,5633,4.48,6.58,0.39,0.64,3.17,10.94,5.23,1.0,1.0,5.8147333310412925,0.0066859722137451,6.835462891616734,0.0376377944015989,46.0,0.17763985164500157,5600,1400.0
228901847,10,5119,4.6,7.3,0.43,0.69,2.29,15.03,5.31,1.0,0.0,0.0,0.0,7.422698001966938,0.0475583594396689,,0.0,5100,0.0
228915321,10,3583,5.01,2.76,0.25,0.84,2.53,16.38,,1.0,0.0,0.0,0.0,2.774585022901631,0.0963530323664562,,0.0,3600,0.0
228924045,10,5322,4.54,7.64,0.45,0.69,1.34,11.19,5.57,1.0,0.0,0.0,0.0,7.755850760437433,0.0299092117108416,,0.0,5300,0.0
228931168,10,5707,4.41,4.95,0.32,0.5,3.42,12.67,3.6,1.0,0.0,0.0,0.0,4.762979180705544,0.0424051970928889,,0.0,5700,0.0
228931439,10,3684,4.93,6.0,0.37,0.3,1.29,14.46,7.58,1.0,0.0,0.0,0.0,6.22032512621257,0.0148885317763166,,0.0,3700,0.0
228957823,10,3612,5.01,6.05,0.37,0.71,3.44,12.23,9.84,1.0,0.0,0.0,0.0,9.718787800826645,0.0821940649560456,,0.0,3600,0.0
228968156,10,5717,4.42,7.05,0.42,0.33,0.38,13.09,2.71,1.0,0.0,0.0,0.0,7.585618956607395,0.0091590526250108,,0.0,5700,0.0
228969225,10,3913,4.86,5.32,0.34,0.73,3.98,13.4,6.3,1.0,0.0,0.0,0.0,5.192330625495736,0.0536630137987299,,0.0,3900,0.0
228976877,10,5899,4.34,6.92,0.41,0.64,2.66,13.62,4.73,1.0,0.0,0.0,0.0,7.266628997943637,0.0250433974227367,,0.0,5900,0.0
228980099,10,5889,4.37,5.3,0.34,0.38,2.52,15.45,3.1,1.0,0.0,0.0,0.0,5.614057798940711,0.0315896270346646,,0.0,5900,0.0
228993888,10,5103,4.57,9.34,0.55,0.47,1.91,14.29,6.17,1.0,0.0,0.0,0.0,10.0,0.0283416060309247,,0.0,5100,0.0
228996648,10,5469,4.54,9.99,0.6,0.76,2.23,10.13,5.27,1.0,0.0,0.0,0.0,10.0,0.01666697293287,,0.0,5500,0.0
229001373,10,5770,4.4,5.71,0.35,0.38,1.29,14.63,,1.0,0.0,0.0,0.0,5.901661872790737,0.0245754627418017,,0.0,5800,0.0
229002044,10,5304,4.55,5.85,0.36,0.41,2.59,15.01,,1.0,0.0,0.0,0.0,5.802574755919105,0.0233578417931136,,0.0,5300,0.0
229003787,10,3420,5.06,4.15,0.29,0.7,4.59,15.64,11.48,1.0,0.0,0.0,0.0,4.23739356077679,0.050711316299584,,0.0,3400,0.0
229008956,10,6228,4.22,5.26,0.33,0.56,1.14,12.93,4.26,1.0,0.0,0.0,0.0,5.437404650312367,0.0204563865347278,,0.0,6200,0.0
229009830,10,4144,4.92,5.87,0.36,0.69,2.98,15.59,,1.0,0.0,0.0,0.0,6.110348230853239,0.0288426645149855,,0.0,4100,0.0
229018452,10,6027,4.37,4.69,0.31,0.48,1.28,13.59,4.53,1.0,0.0,0.0,0.0,4.635216927246512,0.0136700843164275,,0.0,6000,0.0
229023284,10,5772,4.4,9.12,0.54,0.47,0.15,12.31,3.46,1.0,0.0,0.0,0.0,8.96266445093468,0.0027917887274307,,0.0,5800,0.0
229028730,10,3570,5.03,4.34,0.3,0.72,1.6,13.92,,1.0,0.0,0.0,0.0,4.343914792752334,0.0292741232857409,,0.0,3600,0.0
229029108,10,3695,4.97,1.87,0.22,0.37,1.26,15.7,,1.0,0.0,0.0,0.0,1.862484929233132,0.0205248020703012,,0.0,3700,0.0
229029548,10,5535,4.47,8.24,0.48,0.62,1.75,14.25,4.25,1.0,0.0,0.0,0.0,8.736107166748381,0.0224240788234266,,0.0,5500,0.0
229033212,10,5846,4.29,5.54,0.35,0.51,0.41,10.15,3.93,1.0,0.0,0.0,0.0,5.706759752863864,0.0074570436449923,,0.0,5800,0.0
229033597,10,3568,5.05,4.98,0.32,0.67,0.91,16.05,9.09,1.0,0.0,0.0,0.0,5.040863706227649,0.0142467931066068,,0.0,3600,0.0
229045749,10,4956,4.59,5.81,0.36,0.55,0.91,13.71,,1.0,0.0,0.0,0.0,5.901661637088921,0.0085866502692908,,0.0,5000,0.0
229057074,10,5637,4.5,6.64,0.4,0.32,1.72,11.51,5.21,1.0,1.0,7.599178692333877,0.0110946118831634,7.116987606987049,0.0197698805284757,46.0,0.5611876038999422,5600,1400.0
229068631,10,4996,4.55,8.49,0.5,0.47,0.92,14.14,,1.0,0.0,0.0,0.0,9.201284718640323,0.0223745346299764,,0.0,5000,0.0
229082046,10,5978,4.29,8.41,0.49,0.33,0.71,13.87,,1.0,0.0,0.0,0.0,8.962664718767552,0.0074514850108344,,0.0,6000,0.0
229087531,10,5868,4.39,5.28,0.34,0.53,3.5,13.34,4.0,1.0,0.0,0.0,0.0,5.437406229970792,0.0395960076593723,,0.0,5900,0.0
229092596,10,5165,4.57,4.25,0.3,0.42,8.05,13.34,5.91,1.0,0.0,0.0,0.0,4.455928850001064,0.0821952255377925,,0.0,5200,0.0
229095758,10,5965,4.4,9.4,0.56,0.66,2.1,8.78,4.32,1.0,1.0,9.26865644505776,0.0254411548376082,10.0,0.0215640176330431,46.0,1.1797966070396855,6000,4600.0
229096546,10,4795,4.62,8.58,0.5,0.59,3.5,12.67,,1.0,0.0,0.0,0.0,9.20128504045885,0.0337708806479549,,0.0,4800,0.0
229101328,10,5439,4.53,8.92,0.52,0.52,2.83,9.24,5.29,1.0,0.0,0.0,0.0,8.736107869977433,0.0215967070011096,,0.0,5400,0.0
229102834,10,3911,4.87,3.12,0.26,0.73,0.96,15.45,8.66,1.0,0.0,0.0,0.0,3.12592498312764,0.0221741876721763,,0.0,3900,0.0
229105192,10,5178,4.57,6.52,0.39,0.8,1.62,11.26,5.45,1.0,1.0,4.936403619319536,0.009729790687561,6.702891819165887,0.0203292548100567,46.0,0.478610297252399,5200,1800.0
229123820,10,4025,4.84,3.66,0.27,0.69,8.97,14.8,7.18,1.0,0.0,0.0,0.0,3.693908285963748,0.0774489585280632,,0.0,4000,0.0
229130635,10,5989,4.26,6.69,0.4,0.89,1.4,12.82,3.19,1.0,0.0,0.0,0.0,6.973385219079584,0.0174461444224306,,0.0,6000,0.0
229140068,10,3943,4.87,3.88,0.28,0.49,7.92,15.77,7.29,1.0,0.0,0.0,0.0,3.992629644332936,0.0829827510676046,,0.0,3900,0.0
229144011,10,5069,4.67,8.91,0.52,0.48,1.82,16.54,5.47,1.0,0.0,0.0,0.0,9.4529589282191,0.021140286295936,,0.0,5100,0.0
229148614,10,5480,4.53,9.01,0.53,0.53,0.28,13.37,4.38,1.0,0.0,0.0,0.0,10.0,0.0129492261877187,,0.0,5500,0.0
229150927,10,6065,4.2,7.65,0.45,0.36,0.69,12.55,,1.0,0.0,0.0,0.0,9.452959082689608,0.0092377203276201,,0.0,6100,0.0
229157429,10,5929,4.32,9.78,0.58,0.51,0.95,13.28,4.19,1.0,0.0,0.0,0.0,9.201284822933037,0.0118977503022136,,0.0,5900,0.0
229165552,10,5435,4.53,7.98,0.47,0.71,1.5,10.27,5.22,1.0,1.0,8.636995164130225,0.0081371903419493,8.120315273792679,0.021151992419277,46.0,0.3847008915591999,5400,1600.0
203639345,11,4210,4.81,4.71,0.31,0.35,0.37,14.41,6.11,2.0,0.0,0.0,0.0,5.140464755859572,1.3047838796488076,,0.0,4200,0.0
203766924,11,3807,4.88,2.76,0.25,0.68,7.37,12.32,,3.0,0.0,0.0,0.0,2.713959084147917,0.0851929454009635,,0.0,3800,0.0
203802971,11,6073,4.36,6.19,0.37,0.3,0.06,10.6,3.73,3.0,0.0,0.0,0.0,0.2446027888318839,0.0315391693506336,,0.0,6100,0.0
203837777,11,6065,4.35,3.38,0.27,0.78,1.65,11.51,4.49,3.0,0.0,0.0,0.0,3.3470820676432345,0.0608009331038716,,0.0,6100,0.0
203858156,11,5719,4.49,4.8,0.32,0.8,0.98,10.85,4.94,2.0,0.0,0.0,0.0,5.140465645986611,0.0136141252805646,,0.0,5700,0.0
203975038,11,3882,4.87,7.46,0.44,0.82,1.96,13.85,8.59,3.0,0.0,0.0,0.0,7.487373810671401,0.0969851085295417,,0.0,3900,0.0
204373728,11,5015,4.6,5.46,0.34,0.59,1.1,13.41,6.58,2.0,0.0,0.0,0.0,5.378052985758199,0.0116964662835015,,0.0,5000,0.0
204480233,11,5328,4.56,8.24,0.48,0.47,1.76,10.52,5.6,2.0,0.0,0.0,0.0,8.53328522052572,0.0150698197489136,,0.0,5300,0.0
204630034,11,5953,4.26,8.91,0.52,0.73,0.9,13.73,,2.0,0.0,0.0,0.0,4.368503180146216,0.00778156075806,,0.0,6000,0.0
204772840,11,4719,4.64,7.25,0.43,0.63,0.68,13.62,,2.0,0.0,0.0,0.0,7.441784986891919,0.0073637203243578,,0.0,4700,0.0
221617716,11,5728,4.21,7.95,0.46,0.61,0.73,13.35,,2.0,0.0,0.0,0.0,10.0,0.0195528390578405,,0.0,5700,0.0
221733874,11,3957,4.87,4.24,0.3,0.9,9.97,12.71,6.68,2.0,0.0,0.0,0.0,4.210453416218092,0.0900209209495748,,0.0,4000,0.0
221926545,11,5407,4.45,1.95,0.22,0.33,0.37,13.46,,2.0,0.0,0.0,0.0,7.950260987292228,0.0348627013754271,,0.0,5400,0.0
221929697,11,5532,4.51,3.92,0.28,0.8,5.77,11.03,5.2,2.0,0.0,0.0,0.0,3.926308630552319,0.0244726227984278,,0.0,5500,0.0
222071929,11,5801,4.42,3.91,0.28,0.85,2.72,11.65,3.37,2.0,0.0,0.0,0.0,3.9263081144691294,0.0325840360296583,,0.0,5800,0.0
223051619,11,6182,4.25,8.06,0.47,0.62,0.46,8.86,,2.0,0.0,0.0,0.0,7.44180424256962,0.0026303384263955,,0.0,6200,0.0
224512018,11,5506,4.41,7.39,0.43,0.7,2.08,11.07,5.6,2.0,0.0,0.0,0.0,7.441800657687756,0.0095240048812709,,0.0,5500,0.0
224544096,11,5512,4.45,7.09,0.42,0.92,3.76,11.4,5.63,2.0,0.0,0.0,0.0,7.441800889466589,0.0223353895067487,,0.0,5500,0.0
224640120,11,5583,4.35,4.67,0.31,0.75,1.53,14.21,,2.0,0.0,0.0,0.0,4.723166722255424,0.0386292545113957,,0.0,5600,0.0
224788070,11,5241,4.42,5.19,0.33,0.44,1.16,14.63,,2.0,0.0,0.0,0.0,6.54381130800877,0.0511440910847371,,0.0,5200,0.0
224848860,11,5888,4.23,2.39,0.24,0.34,0.72,14.56,,2.0,0.0,0.0,0.0,2.495066847095916,0.0114143620764655,,0.0,5900,0.0
225080634,11,5120,4.59,9.72,0.58,0.86,1.3,12.98,,2.0,0.0,0.0,0.0,0.1590406650603689,0.0095665615292672,,0.0,5100,0.0
225202048,11,5641,4.45,8.21,0.48,0.75,0.97,13.33,,2.0,0.0,0.0,0.0,7.950258874755171,0.0471157164350374,,0.0,5600,0.0
226710325,11,6006,4.34,3.3,0.26,0.62,0.33,11.51,2.98,2.0,0.0,0.0,0.0,10.0,0.006210037734095,,0.0,6000,0.0
227161374,11,5939,4.41,2.12,0.23,0.77,5.89,10.14,4.22,2.0,0.0,0.0,0.0,2.0914496901905046,0.0691929459997058,,0.0,5900,0.0
227501630,11,5962,4.35,3.02,0.25,0.72,1.46,12.15,4.34,2.0,0.0,0.0,0.0,0.1227896422656994,0.0650445784907195,,0.0,6000,0.0
