EPIC,Campaign,Teff,log g,Prot,ΔProt,hpeak,Rvar,Kp,MG,N_EVEREST,N_TESS_SPOC,Period_TESS,Amplitude_TESS,Period_K2,Amplitude_K2,Sector
203837143,2,4041,4.8,8.86,0.52,0.88,6.57,13.75,,1.0,0.0,0.0,0.0,392.39201914871956,0.08259028502557098,
204040060,2,4233,4.75,7.28,0.43,0.95,8.0,12.94,,2.0,0.0,0.0,0.0,392.39193566962064,0.08416534814216559,
204097242,2,4075,4.78,2.54,0.24,0.87,3.05,14.16,8.1,2.0,0.0,0.0,0.0,392.3919264518554,0.035015654751855085,
204115917,2,4036,4.86,2.38,0.23,0.85,2.46,14.46,,2.0,0.0,0.0,0.0,392.39192370794626,0.04250102324524829,
204246759,2,4299,4.74,4.38,0.3,0.53,2.53,11.95,,2.0,0.0,0.0,0.0,392.3919156834381,0.02954999008584769,
204364515,2,4029,4.79,3.06,0.26,0.41,4.06,15.78,,2.0,0.0,0.0,0.0,392.39189489166165,0.07066439722240814,
204388095,2,4094,4.79,1.5,0.21,0.78,8.24,14.14,,2.0,0.0,0.0,0.0,392.3918988765582,0.1011159542451242,
204399028,2,4123,4.79,3.9,0.28,0.6,1.2,13.91,,2.0,0.0,0.0,0.0,392.3918867030079,0.033413615675858765,
204494201,2,4218,4.77,3.15,0.26,0.62,1.31,14.84,,2.0,0.0,0.0,0.0,392.39187814648176,0.03424934012629277,
204501441,2,4024,4.8,9.36,0.55,0.74,1.22,14.0,6.19,1.0,0.0,0.0,0.0,7.8478377323372115,0.05489781662732707,
204533053,2,4205,4.77,2.85,0.25,0.79,2.1,14.51,7.58,2.0,0.0,0.0,0.0,392.39187598930584,0.037858016496556623,
205639631,2,4010,4.81,3.13,0.26,0.61,3.05,13.85,9.52,1.0,0.0,0.0,0.0,392.39225871049706,0.03296582241548485,
205642723,2,4137,4.78,2.21,0.23,0.77,6.33,14.31,5.94,1.0,0.0,0.0,0.0,2.204451644953592,0.07000202366420283,
205931660,3,4005,4.86,9.45,0.56,0.9,4.08,11.36,,1.0,1.0,5.467151883973808,0.006503969430923573,9.605735384925032,0.04011639136820366,42.0
