202059193  0 3832 4.88 15.40  1.16 0.76 0.28 12.40  8.08
202059198  0 4163 4.79 16.51  1.33 0.47 0.37 11.20  8.69
202059199  0 3808 4.95 16.89  1.39 0.34 0.26 12.20  9.65
202059204  0 3718 4.95  7.93  0.46 0.66 2.82 11.30  8.51
202059207  0 3858 4.94 15.45  1.17 0.61 0.06 12.20  7.74
202059210  0 5038 4.61 15.57  1.18 0.85 1.48 11.80  --- 
202059224  0 3389 5.10 13.28  0.89 0.46 0.07 11.60  9.58
202059229  0 4161 4.78  4.93  0.32 0.44 2.39 10.50  8.06
202059231  0 3856 4.88 17.95  1.58 0.73 3.55 11.70  8.75
202059586  0 5915 4.37  4.32  0.30 0.62 1.18 14.60  4.26
202059600  0 5932 4.33  2.50  0.24 0.76 5.83 15.20  4.97
202059635  0 6029 4.28  2.57  0.24 0.79 4.52 14.90  --- 
202059653  0 5612 4.38  2.66  0.24 0.61 6.09 15.70  4.54
202059766  0 5903 4.34  3.20  0.26 0.60 1.61 15.00  4.54
202060098  0 5462 4.51  4.96  0.32 0.91 2.08 15.10  --- 
202060670  0 5179 4.57  4.42  0.30 0.83 1.75 10.20  --- 
202061775  0 3726 4.96 16.28  1.29 0.35 2.63 18.80  --- 
202061819  0 5445 4.51  3.15  0.26 0.42 5.79 15.60  4.99
202064452  0 4894 4.63  3.11  0.26 0.48 4.08 11.50  5.53
202064943  0 4907 4.59 12.73  0.84 0.50 3.91 18.80  --- 
202065236  0 3700 4.96  2.49  0.24 0.75 1.04 15.60  --- 
202065268  0 3435 5.09 15.03  1.11 0.37 0.13 13.10 10.98
202065332  0 3817 4.89 17.70  1.54 0.54 1.26 13.40  8.81
202065924  0 4911 4.59 16.10  1.26 0.58 0.65 13.00  6.59
202065962  0 5688 4.37 14.11  0.99 0.43 0.23 13.20  4.94
202065998  0 5785 4.38  8.10  0.47 0.36 1.75 13.40  5.56
202066004  0 3537 5.04  2.19  0.23 0.80 1.52 13.40 11.02
202066005  0 5074 4.53 12.67  0.83 0.44 0.15 13.40  --- 
202066067  0 5006 4.56 10.62  0.65 0.63 1.58 13.60  6.01
202066121  0 4302 4.74 15.58  1.19 0.31 0.44 13.80  7.15
202066131  0 5083 4.65  4.10  0.29 0.87 4.85 13.90  --- 
202066162  0 5450 4.50 11.79  0.74 0.33 0.36 14.00  5.28
202067546  0 3604 5.01 16.83  1.38 0.42 0.78 15.70  9.87
202067687  0 3524 5.04  7.38  0.43 0.72 2.72 15.50  9.98
202067691  0 3501 5.06 15.36  1.15 0.39 0.18 13.90  9.58
202067711  0 3684 4.95 15.15  1.12 0.46 0.33 13.90  --- 
202067712  0 3528 5.04 16.72  1.36 0.32 0.20 14.40 10.67
202067783  0 3720 4.95  3.36  0.26 0.90 3.38 15.30  8.52
202067804  0 3544 5.01 17.73  1.54 0.57 0.88 12.80  --- 
202067805  0 3789 4.97  2.66  0.24 0.78 1.21 13.40  --- 
202067808  0 3588 4.99  3.13  0.26 0.34 0.91 15.50 12.27
202067837  0 3625 4.98 16.49  1.32 0.33 0.16 14.50  --- 
202067844  0 3733 4.90  2.44  0.24 0.71 1.83 14.10 10.51
202067891  0 3969 4.84 13.37  0.90 0.43 0.46 13.50  8.08
202067893  0 3827 4.92 16.33  1.30 0.32 0.25 15.70  8.53
